expt_no_true,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label,sit_total,bend_total,stand_total,tampered_total,inaction_total,predicted_label
0,0,1,6.65E-09,1.98E-10,6.88E-12,2.06E-09,840.57,910.84,1751.41,0,0.9,0.67,1.57,0,0,0,0,1,4.52E-09,1.35E-10,4.68E-12,1.40E-09,0
0,0,1,6.55E-09,2.01E-10,6.83E-12,2.06E-09,730.65,794.21,1524.86,-226.55,0,0,0,-1.57,0,0,0,0.68,0.320000004,0.32,0.32,1.40E-09,0
0,0,1,1.43E-08,1.70E-10,9.13E-12,2.06E-09,812.69,879.68,1692.37,167.51,0,0,0,0,0,0,0,1,9.72E-09,1.16E-10,6.21E-12,1.40E-09,0
0,0,1,1.29E-08,1.71E-10,1.07E-11,2.06E-09,831.21,897.92,1729.13,36.76,0.8,0,0.8,0.8,0,0,0,1,8.77E-09,1.16E-10,7.28E-12,1.40E-09,0
0,0,1,8.28E-09,1.71E-10,8.37E-12,2.06E-09,837.62,903.71,1741.33,12.2,0.66,0,0.66,-0.14,0,0,0,1,5.63E-09,1.16E-10,5.69E-12,1.40E-09,0
0,0,1,6.48E-09,1.58E-10,7.63E-12,2.06E-09,840.95,906.72,1747.67,6.34,0.57,1,1.57,0.91,0,0,0,1,4.41E-09,1.07E-10,5.19E-12,1.40E-09,0
0,0,1,1.38E-08,1.84E-10,1.46E-11,2.06E-09,842.85,908.66,1751.51,3.84,0.5,0.87,1.37,-0.2,0,0,0,1,9.38E-09,1.25E-10,9.93E-12,1.40E-09,0
0,0,1,1.15E-08,1.58E-10,1.37E-11,2.06E-09,842.85,908.66,1751.51,0,0.5,0.87,1.37,0,0,0,0,1,7.82E-09,1.07E-10,9.32E-12,1.40E-09,0
0,0,1,9.09E-09,1.69E-10,1.12E-11,2.06E-09,844.26,909.32,1753.58,2.07,0.44,0.77,1.21,-0.16,0,0,0,1,6.18E-09,1.15E-10,7.62E-12,1.40E-09,0
0,0,1,1.05E-08,1.82E-10,1.12E-11,2.06E-09,845.74,910.27,1756.01,2.43,0.39,0.69,1.08,-0.13,0,0,0,1,7.14E-09,1.24E-10,7.62E-12,1.40E-09,0
0,0,1,1.44E-08,1.94E-10,1.52E-11,2.06E-09,846.53,910.96,1757.49,1.48,0.36,0.63,0.99,-0.09,0,0,0,1,9.79E-09,1.32E-10,1.03E-11,1.40E-09,0
0,0,1,1.87E-08,1.86E-10,1.98E-11,2.06E-09,847.27,911.61,1758.88,1.39,0.33,0.57,0.9,-0.09,0,0,0,1,1.27E-08,1.26E-10,1.35E-11,1.40E-09,0
0,0,1,1.12E-08,1.66E-10,1.52E-11,2.06E-09,848.3,912.44,1760.74,1.86,0.28,0.49,0.77,-0.13,0,0,0,1,7.62E-09,1.13E-10,1.03E-11,1.40E-09,0
0,0,1,2.73E-08,1.82E-10,2.35E-11,2.06E-09,848.3,912.44,1760.74,0,0.28,0.49,0.77,0,0,0,0,1,1.86E-08,1.24E-10,1.60E-11,1.40E-09,0
0,0,1,1.60E-08,1.59E-10,1.66E-11,2.06E-09,848.89,913.08,1761.97,1.23,0.24,0.43,0.67,-0.1,0,0,0,1,1.09E-08,1.08E-10,1.13E-11,1.40E-09,0
