timestamp,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label
11/6/2021 15:32,0,1,6.64887E-09,1.98035E-10,6.8799E-12,2.06115E-09,840.57,910.84,1751.41,0,0.9,0.67,1.57,0,0,0,0
11/6/2021 15:32,0,1,6.54758E-09,2.00866E-10,6.82718E-12,2.06115E-09,730.65,794.21,1524.86,-226.55,0,0,0,-1.57,0,0,0
11/6/2021 15:32,0,1,1.42527E-08,1.70343E-10,9.12745E-12,2.06115E-09,812.69,879.68,1692.37,167.51,0,0,0,0,0,0,0
11/6/2021 15:32,0,1,1.29376E-08,1.71032E-10,1.06925E-11,2.06115E-09,831.21,897.92,1729.13,36.76,0.8,0,0.8,0.8,0,0,0
11/6/2021 15:32,0,1,8.28174E-09,1.70951E-10,8.36898E-12,2.06115E-09,837.62,903.71,1741.33,12.2,0.66,0,0.66,-0.14,0,0,0
11/6/2021 15:32,0,1,6.48489E-09,1.58079E-10,7.62831E-12,2.06115E-09,840.95,906.72,1747.67,6.34,0.57,1,1.57,0.91,0,0,0
11/6/2021 15:32,0,1,1.37991E-08,1.83662E-10,1.45806E-11,2.06115E-09,842.85,908.66,1751.51,3.84,0.5,0.87,1.37,-0.2,0,0,0
11/6/2021 15:32,0,1,1.14955E-08,1.57874E-10,1.37255E-11,2.06115E-09,842.85,908.66,1751.51,0,0.5,0.87,1.37,0,0,0,0
11/6/2021 15:32,0,1,9.08789E-09,1.6909E-10,1.11895E-11,2.06115E-09,844.26,909.32,1753.58,2.07,0.44,0.77,1.21,-0.16,0,0,0
11/6/2021 15:32,0,1,1.05355E-08,1.81767E-10,1.11672E-11,2.06115E-09,845.74,910.27,1756.01,2.43,0.39,0.69,1.08,-0.13,0,0,0
11/6/2021 15:32,0,1,1.43998E-08,1.93699E-10,1.51946E-11,2.06115E-09,846.53,910.96,1757.49,1.48,0.36,0.63,0.99,-0.09,0,0,0
11/6/2021 15:33,0,1,1.87222E-08,1.85915E-10,1.98483E-11,2.06115E-09,847.27,911.61,1758.88,1.39,0.33,0.57,0.9,-0.09,0,0,0
11/6/2021 15:33,0,1,1.11931E-08,1.66093E-10,1.52427E-11,2.06115E-09,848.3,912.44,1760.74,1.86,0.28,0.49,0.77,-0.13,0,0,0
11/6/2021 15:33,0,1,2.73176E-08,1.82E-10,2.35199E-11,2.06115E-09,848.3,912.44,1760.74,0,0.28,0.49,0.77,0,0,0,0
11/6/2021 15:33,0,1,1.60161E-08,1.58802E-10,1.6555E-11,2.06115E-09,848.89,913.08,1761.97,1.23,0.24,0.43,0.67,-0.1,0,0,0
11/6/2021 15:33,0,1,5.95158E-08,1.98411E-10,1.70441E-10,2.06115E-09,849.16,913.24,1762.4,0.43,0.23,0.4,0.63,-0.04,0,0,0
11/6/2021 15:33,0,0.999999881,1.22609E-07,2.72627E-10,6.62332E-10,2.06115E-09,849.88,913.57,1763.45,1.05,0.26,0.36,0.62,-0.01,0,1,0
11/6/2021 15:33,0,0.999999881,6.87047E-08,2.38403E-10,3.1989E-10,2.06115E-09,849.96,913.74,1763.7,0.25,0.5,0.85,1.35,0.73,0,1,0
11/6/2021 15:33,0,1,2.79544E-08,1.77567E-10,1.2364E-10,2.06115E-09,850.1,913.96,1764.06,0.36,0.48,0.81,1.29,-0.06,0,1,0
11/6/2021 15:33,0,1,2.92153E-08,1.69281E-10,1.23168E-10,2.06115E-09,849.96,914.08,1764.04,-0.02,0.45,0.77,1.22,-0.07,0,2,0
11/6/2021 15:33,0,1,2.12229E-08,1.47329E-10,9.73547E-11,2.06115E-09,849.9,914.2,1764.1,0.06,0.43,0.73,1.16,-0.06,0,2,0
11/6/2021 15:33,0,0.999999881,9.7494E-08,2.70155E-10,7.27897E-10,2.06115E-09,850.02,914.24,1764.26,0.16,0.41,0.7,1.11,-0.05,0,2,0
11/6/2021 15:33,0,0.999999642,3.5533E-07,3.93005E-10,2.1605E-09,2.06115E-09,850.08,914.34,1764.42,0.16,0.4,0.76,1.16,0.05,0,2,0
11/6/2021 15:33,0,0.999999881,1.51546E-07,2.98879E-10,1.09437E-09,2.06115E-09,850.08,914.34,1764.42,0,0.4,0.76,1.16,0,0,2,0
11/6/2021 15:33,0,0.999999404,6.14851E-07,4.58678E-10,3.53621E-09,2.06115E-09,849.97,914.27,1764.24,-0.18,0.38,1.1,1.48,0.32,0,2,0
11/6/2021 15:33,0,0.999999642,3.82203E-07,4.66325E-10,2.42332E-09,2.06115E-09,850.07,914.43,1764.5,0.26,0.35,1.01,1.36,-0.12,0,3,0
11/6/2021 15:33,0,0.999999762,2.31456E-07,3.7992E-10,1.23191E-09,2.06115E-09,850.11,914.46,1764.57,0.07,0.34,0.97,1.31,-0.05,0,3,0
11/6/2021 15:33,0,0.999999642,3.10412E-07,3.95888E-10,1.49189E-09,2.06115E-09,850.11,914.48,1764.59,0.02,0.33,0.94,1.27,-0.04,0,3,0
11/6/2021 15:33,0,0.999999881,7.68457E-08,3.03323E-10,2.81264E-10,2.06115E-09,850.14,914.54,1764.68,0.09,0.32,0.9,1.22,-0.05,0,3,0
11/6/2021 15:33,0,1,4.80851E-08,2.53168E-10,1.39638E-10,2.06115E-09,850.18,914.6,1764.78,0.1,0.31,0.87,1.18,-0.04,0,3,0
11/6/2021 15:33,0,1,3.78296E-08,2.21226E-10,1.16342E-10,2.06115E-09,849.86,914.75,1764.61,-0.17,0.29,0.81,1.1,-0.08,0,3,0
11/6/2021 15:33,0,0.999999881,6.38678E-08,2.8288E-10,1.7253E-10,2.06115E-09,849.87,914.79,1764.66,0.05,0.28,0.79,1.07,-0.03,0,3,0
11/6/2021 15:33,0,1,2.80333E-08,2.69858E-10,5.71098E-11,2.06115E-09,849.8,914.84,1764.64,-0.02,0.27,0.95,1.22,0.15,0,3,0
11/6/2021 15:34,1,0.999999881,9.94042E-08,3.95441E-10,5.71789E-11,2.06115E-09,823.62,881.44,1705.06,0,1,0,1,0,0,0,0
11/6/2021 15:34,1,0.999999881,1.68356E-07,4.76642E-10,1.36418E-10,2.06115E-09,843.22,900.37,1743.59,38.53,0.79,0,0.79,-0.21,0,0,0
11/6/2021 15:34,1,0.999999642,3.58026E-07,8.23291E-10,1.03918E-10,2.06115E-09,850.36,908.9,1759.26,15.67,1.14,0,1.14,0.35,0,0,0
11/6/2021 15:34,1,0.999999881,9.81871E-08,7.48819E-10,3.26254E-11,2.06115E-09,852.12,910.8,1762.92,3.66,0.99,0,0.99,-0.15,0,0,0
11/6/2021 15:34,1,0.999999881,1.08771E-07,5.79164E-10,4.81187E-11,2.06115E-09,852.67,912.01,1764.68,1.76,0.88,0,0.88,-0.11,0,0,0
11/6/2021 15:34,1,0.999999881,1.19555E-07,6.78572E-10,4.26788E-11,2.06115E-09,852.89,912.68,1765.57,0.89,0.79,0,0.79,-0.09,0,0,0
11/6/2021 15:34,1,0.999999881,1.49363E-07,6.1529E-10,8.32317E-11,2.06115E-09,853.33,913.17,1766.5,0.93,0.71,0.82,1.53,0.74,0,0,0
11/6/2021 15:34,1,0.999999762,2.44261E-07,6.26979E-10,1.35469E-10,2.06115E-09,854.54,913.79,1768.33,1.83,0.65,0.75,1.4,-0.13,0,0,0
11/6/2021 15:34,1,0.999999762,2.77292E-07,5.6167E-10,1.76453E-10,2.06115E-09,854.83,914.05,1768.88,0.55,0.6,0.69,1.29,-0.11,0,0,0
11/6/2021 15:35,1,0.999999404,5.45847E-07,6.03221E-10,2.54779E-10,2.06115E-09,855.48,914.26,1769.74,0.86,0.56,0.64,1.2,-0.09,0,0,0
11/6/2021 15:35,1,1,5.32462E-08,2.85617E-10,6.35329E-11,2.06115E-09,856.02,914.62,1770.64,0.9,0.52,0.59,1.11,-0.09,0,0,0
11/6/2021 15:35,1,1,4.52835E-08,2.86847E-10,2.03272E-11,2.06115E-09,856.29,914.47,1770.76,0.12,0.48,0.55,1.03,-0.08,0,0,0
11/6/2021 15:35,1,1,2.2916E-08,2.77624E-10,1.95733E-11,2.06115E-09,857.11,914.85,1771.96,1.2,0.52,0.52,1.04,0.01,0,1,0
11/6/2021 15:35,1,1,5.90762E-08,4.13041E-10,4.88073E-11,2.06115E-09,857.86,915.38,1773.24,1.28,0.57,0.46,1.03,-0.01,0,1,0
11/6/2021 15:35,1,1,2.31586E-08,2.50543E-10,2.17625E-11,2.06115E-09,857.86,915.38,1773.24,0,0.57,0.46,1.03,0,0,1,0
11/6/2021 15:35,1,1,4.82282E-08,2.76488E-10,3.98049E-11,2.06115E-09,858.15,915.53,1773.68,0.44,1.11,0.42,1.53,0.5,0,1,0
11/6/2021 15:35,1,0.999999881,6.24408E-08,3.31463E-10,4.20335E-11,2.06115E-09,858.14,915.68,1773.82,0.14,1.05,0.4,1.45,-0.08,0,1,0
11/6/2021 15:35,1,0.999999881,6.58423E-08,4.26572E-10,6.05051E-11,2.06115E-09,858.07,915.82,1773.89,0.07,1,0.38,1.38,-0.07,0,1,0
11/6/2021 15:35,1,1,3.77933E-08,3.2846E-10,4.69794E-11,2.06115E-09,857.95,915.94,1773.89,0,0.96,0.36,1.32,-0.06,0,2,0
11/6/2021 15:35,1,0.999999881,6.87094E-08,3.63252E-10,6.00152E-11,2.06115E-09,857.95,915.94,1773.89,0,0.91,0.6,1.51,0.19,0,2,0
11/6/2021 15:35,1,0.999999523,4.70276E-07,7.08386E-10,2.53008E-10,2.06115E-09,858.06,915.9,1773.96,0.07,0.84,0.55,1.39,-0.12,0,2,0
11/6/2021 15:35,1,0.999999762,2.06561E-07,5.65691E-10,2.09886E-10,2.06115E-09,858.05,915.86,1773.91,-0.05,0.85,0.68,1.53,0.14,0,2,0
11/6/2021 15:35,1,0.999999762,1.93913E-07,5.49919E-10,2.44959E-10,2.06115E-09,858.18,915.87,1774.05,0.14,0.78,0.63,1.41,-0.12,0,2,0
11/6/2021 15:35,1,1,2.52441E-08,2.58393E-10,2.79402E-11,2.06115E-09,858.09,915.88,1773.97,-0.08,0.76,0.61,1.37,-0.04,0,2,0
11/6/2021 15:35,1,1,1.81933E-08,2.24889E-10,8.30279E-12,2.06115E-09,857.88,915.92,1773.8,-0.17,0.73,0.59,1.32,-0.05,0,2,0
11/6/2021 15:35,1,1,7.63067E-09,3.46407E-10,6.44867E-12,2.06115E-09,857.88,915.92,1773.8,0,0.73,0.59,1.32,0,0,2,0
11/6/2021 15:35,1,1,9.24071E-09,6.35427E-10,9.34698E-12,2.06115E-09,857.73,916,1773.73,-0.07,0.68,0.55,1.23,-0.09,0,2,0
11/6/2021 15:35,1,1,1.62799E-08,1.06085E-09,1.33159E-11,2.06115E-09,857.73,916,1773.73,0,0.68,0.55,1.23,0,0,2,0
11/6/2021 15:35,1,1,1.5644E-08,1.25056E-09,1.30462E-11,2.06115E-09,857.7,916.08,1773.78,0.05,0.66,0.66,1.32,0.09,0,2,0
11/6/2021 15:35,1,1,4.08143E-08,1.63068E-09,2.28295E-11,2.06115E-09,857.58,916.21,1773.79,0.01,1.07,0.62,1.69,0.37,0,2,0
11/6/2021 15:35,1,1,4.62868E-08,1.66132E-09,2.39797E-11,2.06115E-09,857.49,916.27,1773.76,-0.03,1.04,0.6,1.64,-0.05,0,2,0
11/6/2021 15:35,1,1,2.39834E-08,1.26071E-09,1.75466E-11,2.06115E-09,857.44,916.33,1773.77,0.01,1.01,0.76,1.77,0.13,0,2,0
11/6/2021 15:35,1,0.999999881,9.36108E-08,1.15576E-09,3.4004E-11,2.06115E-09,857.46,916.35,1773.81,0.04,0.98,1.33,2.31,0.54,0,2,0
11/6/2021 15:35,1,0.999999642,4.15061E-07,2.49338E-09,1.09899E-10,2.06115E-09,857.38,916.37,1773.75,-0.06,1.24,1.29,2.53,0.22,0,2,0
11/6/2021 15:36,2,0.999999881,9.95477E-08,2.83171E-09,2.81653E-11,2.06115E-09,429,392,821,0,,,,0,0,0,0
11/6/2021 15:36,2,0.999999881,6.54047E-08,2.60954E-09,2.65018E-11,2.06115E-09,738.85,668.57,1407.42,586.42,6,0,6,6,0,0,0
11/6/2021 15:36,2,1,4.27518E-08,1.12534E-09,1.74733E-11,2.06115E-09,828.56,760.23,1588.79,181.37,4.4,0,4.4,-1.6,0,0,0
11/6/2021 15:36,2,1,2.23624E-08,2.37332E-10,1.08615E-11,2.06115E-09,858.37,796.39,1654.76,65.97,4.27,0,4.27,-0.13,0,0,0
11/6/2021 15:36,2,1,4.56768E-08,1.61042E-10,2.09367E-11,2.06115E-09,858.37,796.39,1654.76,0,4.27,0,4.27,0,0,0,0
11/6/2021 15:36,2,0.999999881,8.88157E-08,2.11274E-10,4.95608E-11,2.06115E-09,864.31,809.52,1673.83,19.07,3.11,0,3.11,-1.16,0,0,0
11/6/2021 15:36,2,0.999999881,9.37652E-08,3.26924E-10,3.27439E-11,2.06115E-09,863.7,810.41,1674.11,0.28,2.54,0,2.54,-0.57,0,0,0
11/6/2021 15:36,2,0.999999881,8.28334E-08,5.52665E-10,2.60246E-11,2.06115E-09,863.6,811.28,1674.88,0.77,2.28,0,2.28,-0.26,0,0,0
11/6/2021 15:36,2,0.999999881,6.52574E-08,9.12422E-10,1.7524E-11,2.06115E-09,863.91,812.34,1676.25,1.37,2.07,0.5,2.57,0.29,0,0,0
11/6/2021 15:36,2,1,4.59832E-08,3.41097E-10,1.73695E-11,2.06115E-09,864.86,814.53,1679.39,3.14,1.75,1.01,2.76,0.19,0,0,0
11/6/2021 15:36,2,1,4.23084E-08,2.88894E-10,1.8718E-11,2.06115E-09,865.59,816,1681.59,2.2,1.5,1.01,2.51,-0.25,0,0,0
11/6/2021 15:36,2,1,1.1807E-08,2.43851E-10,8.25586E-12,2.06115E-09,866.13,816.85,1682.98,1.39,1.4,0.95,2.35,-0.16,0,0,0
11/6/2021 15:36,2,1,5.86878E-09,2.45629E-10,4.96382E-12,2.06115E-09,866.44,817.49,1683.93,0.95,1.32,0.89,2.21,-0.14,0,0,0
11/6/2021 15:36,2,1,8.67452E-09,2.24049E-10,6.39177E-12,2.06115E-09,867.15,818.69,1685.84,1.91,1.17,0.8,1.97,-0.24,0,0,0
11/6/2021 15:36,2,1,1.83263E-08,1.98613E-10,1.17213E-11,2.06115E-09,867.41,819.17,1686.58,0.74,1.11,0.76,1.87,-0.1,0,0,0
11/6/2021 15:36,2,1,2.02505E-08,2.02241E-10,1.44334E-11,2.06115E-09,867.71,819.75,1687.46,0.88,1.05,0.72,1.77,-0.1,0,0,0
11/6/2021 15:36,2,1,3.42699E-08,1.83038E-10,1.81108E-11,2.06115E-09,867.98,820.27,1688.25,0.79,1,0.69,1.69,-0.08,0,1,0
11/6/2021 15:36,2,1,2.35659E-08,1.77689E-10,1.34506E-11,2.06115E-09,868.22,820.94,1689.16,0.91,1.19,0.66,1.85,0.16,0,1,0
11/6/2021 15:36,2,1,4.15303E-08,2.0708E-10,2.22052E-11,2.06115E-09,868.43,821.35,1689.78,0.62,1.13,0.63,1.76,-0.09,0,1,0
11/6/2021 15:36,2,1,2.68004E-08,1.70172E-10,1.66084E-11,2.06115E-09,868.69,821.78,1690.47,0.69,1.08,0.64,1.72,-0.04,0,1,0
11/6/2021 15:36,2,1,2.89265E-08,1.7219E-10,1.72034E-11,2.06115E-09,868.86,822.36,1691.22,0.75,1.04,0.62,1.66,-0.06,0,1,0
11/6/2021 15:36,2,1,4.57306E-08,1.88643E-10,2.46725E-11,2.06115E-09,869.08,822.83,1691.91,0.69,1,0.6,1.6,-0.06,0,1,0
11/6/2021 15:36,2,1,4.4162E-08,2.27262E-10,3.75016E-11,2.06115E-09,869.22,823.32,1692.54,0.63,0.96,0.57,1.53,-0.07,0,1,0
11/6/2021 15:36,2,0.999999642,3.1386E-07,4.28008E-10,2.02743E-10,2.06115E-09,869.36,823.71,1693.07,0.53,0.92,0.55,1.47,-0.06,0,1,0
11/6/2021 15:36,2,0.999999881,1.08979E-07,4.00065E-10,9.23515E-11,2.06115E-09,869.48,824.25,1693.73,0.66,0.89,0.53,1.42,-0.05,0,1,0
11/6/2021 15:36,2,1,3.23626E-08,2.41752E-10,2.45738E-11,2.06115E-09,869.6,824.57,1694.17,0.44,0.86,0.52,1.38,-0.04,0,1,0
11/6/2021 15:36,2,1,2.72872E-08,2.2575E-10,1.08581E-11,2.06115E-09,869.61,825.09,1694.7,0.53,0.83,0.5,1.33,-0.05,0,1,0
11/6/2021 15:36,2,1,9.69181E-09,2.83571E-10,6.76911E-12,2.06115E-09,869.46,825.14,1694.6,-0.1,0.8,0.48,1.28,-0.05,0,1,0
11/6/2021 15:36,2,1,1.7131E-08,2.486E-10,9.29649E-12,2.06115E-09,869.57,824.98,1694.55,-0.05,0.77,0.77,1.54,0.26,0,1,0
11/6/2021 15:36,2,0.999999881,9.17288E-08,3.34395E-10,3.22529E-11,2.06115E-09,869.52,825.36,1694.88,0.33,1.06,0.73,1.79,0.25,0,1,0
11/6/2021 15:36,2,0.999999642,3.07756E-07,4.75439E-10,1.39665E-10,2.06115E-09,869.47,825.49,1694.96,0.08,1.03,0.71,1.74,-0.05,0,1,0
11/6/2021 15:37,3,0.999998927,1.10463E-06,1.15304E-09,2.04267E-10,2.06115E-09,0,0,0,0,,,,0,0,0,0
11/6/2021 15:37,3,0.999999046,9.56022E-07,2.2756E-09,7.81287E-11,2.06115E-09,735.15,728.04,1463.19,1463.19,0,0,0,0,0,0,0
11/6/2021 15:37,3,0.999999762,2.07047E-07,3.65292E-09,4.38206E-11,2.06115E-09,819.07,808.33,1627.4,164.21,0,0,0,0,0,0,0
11/6/2021 15:37,3,1,5.69475E-08,1.62755E-09,2.13283E-11,2.06115E-09,819.07,808.33,1627.4,0,0,0,0,0,0,0,0
11/6/2021 15:37,3,1,1.30051E-08,7.55236E-10,8.97402E-12,2.06115E-09,843.79,833.49,1677.28,49.88,0,0,0,0,0,0,0
11/6/2021 15:37,3,0.999999881,6.57147E-08,1.49227E-09,2.32752E-11,2.06115E-09,851.78,839.43,1691.21,13.93,0.63,0.25,0.88,0.88,0,0,0
11/6/2021 15:37,3,1,1.01462E-08,3.28043E-10,1.25751E-11,2.06115E-09,855.53,845.45,1700.98,9.77,1.01,0.22,1.23,0.35,0,0,0
11/6/2021 15:37,3,1,8.98165E-09,1.60532E-10,9.91214E-12,2.06115E-09,857.44,851.42,1708.86,7.88,0.91,0.2,1.11,-0.12,0,0,0
11/6/2021 15:37,3,1,1.14807E-08,1.32132E-10,1.76312E-11,2.06115E-09,860.44,854.95,1715.39,6.53,0.82,0.37,1.19,0.08,0,0,0
11/6/2021 15:37,3,1,4.01459E-08,1.7877E-10,3.08533E-11,2.06115E-09,859.79,850.82,1710.61,-4.78,0.69,1.85,2.54,1.35,0,0,0
11/6/2021 15:37,3,0.999999881,9.23265E-08,3.28267E-10,3.87779E-11,2.06115E-09,856.92,838.46,1695.38,-15.23,0.64,1.71,2.35,-0.19,0,0,0
11/6/2021 15:37,3,0.999999881,6.33759E-08,4.89586E-10,2.46982E-11,2.06115E-09,856.92,838.46,1695.38,0,0.64,1.71,2.35,0,0,0,0
11/6/2021 15:37,3,1,5.64974E-08,1.0339E-09,2.29357E-11,2.06115E-09,855.77,834.54,1690.31,-5.07,0.56,1.47,2.03,-0.32,0,0,0
11/6/2021 15:37,3,0.999999762,2.6656E-07,6.46657E-10,7.6277E-11,2.06115E-09,855.7,834.6,1690.3,-0.01,0.52,1.38,1.9,-0.13,0,0,0
11/6/2021 15:37,3,0.999999166,8.44164E-07,8.9402E-10,1.89982E-10,2.06115E-09,855.58,835.12,1690.7,0.4,0.46,1.22,1.68,-0.22,0,0,0
11/6/2021 15:37,3,0.999999523,4.49488E-07,8.59923E-10,1.22952E-10,2.06115E-09,855.69,835.7,1691.39,0.69,0.44,1.15,1.59,-0.09,0,1,0
